n,faer,faer(par),ndarray,nalgebra_d,eigen
21,14,79,4,13 
19,19,93,7,45 
35,35,107,14,99 
43,46,127,27,21 
127,129,113,50,168 
138,136,129,111,190 
140,138,130,110,120 
109,108,156,89,69 
192,190,189,159,107 
199,199,207,182,139 
211,211,251,203,183 
221,219,233,225,147 
