faer,nalgebra_d,nalgebra_s,eigen,julia
643,199,60,102,1001
1800,447,288,360,1377
3200,974,809,2200,2370
4800,1600,1400,5800,3577
7000,2300,2100,10300,5001
8900,3200,3000,16300,6670
11300,4400,4400,25200,8873
14200,6000,5700,36400,11050
16600,7800,8100,54500,13439
20200,9300,9400,66700,16489
22200,12600,12100,87500,19140
25300,15500,14700,107000,22329
