faer,nalgebra_d,nalgebra_s,eigen,julia
70,26,1,46,120
129,42,13,127,145
187,65,39,249,214
256,97,84,389,257
331,130,128,576,309
416,182,173,755,375
515,232,227,1000,445
615,316,338,1300,527
743,489,445,1600,638
871,588,636,1900,757
1000,660,814,2300,904
1200,805,100,2700,1042
