faer,faer(par),ndarray,nalgebra_d,eigen
7,7,53,2,32
8,8,392,6,37
79,33600,519,14,44
91,35300,552,32,50
161,35800,659,58,66
250,95500,735,150,83
267,96400,998,224,105
287,99100,1200,309,122
428,99600,1600,408,182
712,102700,1900,522,179
818,187500,2200,644,216
913,199900,2500,790,251
