faer,faer(par),ndarray,nalgebra_d,eigen
12,12,52,2,32 
14,14,404,6,38 
14,14,524,13,47 
16,16,645,29,58 
155,155,686,54,75 
167,166,835,93,97 
178,177,996,141,124 
179,180,1300,201,140 
356,361,1600,257,171 
277,273,1800,449,202 
351,348,2000,559,239 
362,354,2100,685,284 
