faer,ndarray,nalgebra_d,eigen,nalgebra_s
12,52,2,32
14,389,6,37,1
14,493,14,44,1
16,520,32,50,12
156,684,58,66,23
164,676,150,83,28
174,931,224,105,64
153,1200,310,123,66
324,1600,406,181,139
244,1900,524,179,126
320,2000,642,217,254
333,2500,784,254,201
