faer,nalgebra_d,nalgebra_s,eigen,julia
29,33,10,43,102
335,59,34,141,734
419,87,60,274,1457
496,116,87,417,2135
758,154,121,577,2813
868,193,160,739,3585
1000,243,207,924,4190
1000,295,261,1100,4994
1300,360,335,1300,5864
1400,438,425,1500,6892
1600,528,499,1700,7792
1700,651,600,1900,8693
