faer,nalgebra_d,nalgebra_s,eigen,julia
56,168,24,95,1001
169,343,94,200,1377
932,671,396,907,2370
2200,995,760,1700,3577
6100,1500,1100,3300,5001
8400,1900,1600,5800,6670
9800,2700,2400,8500,8873
11700,3600,3200,11800,11050
14600,4200,4300,14400,13439
17900,5400,5500,19900,16489
18700,6600,7300,25900,19140
21200,7700,7600,29000,22329
