faer,faer(par),ndarray,nalgebra_d,eigen
7,7,52,2,29 
8,8,411,11,35 
83,3400,524,39,44 
92,35700,594,90,61 
172,36700,726,159,106 
287,95500,734,280,129 
315,95700,1100,409,183 
346,96100,1400,590,217 
518,99800,2300,783,312 
781,103400,2500,994,355 
887,188400,2800,1200,467 
100,200500,300,1500,503 
