faer,ndarray,nalgebra_d,eigen,nalgebra_s
12,53,2,29
14,425,11,35,3
17,574,39,44,28
24,579,89,60,36
162,698,158,106,160
215,827,280,129,125
266,1100,407,183,422
234,1500,590,215,280
393,2200,770,316,790
401,2500,989,354,881
535,2800,1200,466,1200
564,2900,1500,504,1500
