faer,faer(par),ndarray,nalgebra_d,eigen
12,12,53,2,29  
14,14,425,11,35  
17,17,574,39,44  
24,24,579,89,60  
162,167,698,158,106  
215,222,827,280,129  
266,274,1100,407,183  
234,235,1500,590,215  
393,398,2200,770,316  
401,403,2500,989,354  
535,543,2800,1200,466  
564,573,2900,1500,504  
