faer,ndarray,nalgebra_d,eigen,julia,nalgebra_s
16,58,5,136,15
22,63,15,13,72,9
53,84,40,54,145,31
80,92,74,35,240,74
189,203,136,110,282,144
134,221,211,79,317,254
238,300,335,189,364,401
217,257,462,271,349,631
327,375,670,410,446,912
296,433,868,413,508,1300
459,561,1200,592,609,1700
367,556,1500,612,571,1400
