faer,faer(par),ndarray,nalgebra_d,eigen
17,17,71,4,15 
24,23,80,15,49 
54,54,110,50,111 
88,87,126,82,37 
196,197,272,137,201 
203,208,309,222,227 
259,261,437,359,176 
163,168,209,310,148 
350,360,265,464,223 
359,361,312,699,288 
439,444,395,999,396 
266,270,431,829,305 
