faer,nalgebra_d,nalgebra_s,eigen,julia
61,25,1,28,120
111,32,7,77,145
167,47,22,133,214
224,61,37,184,257
292,99,61,260,309
364,136,111,339,375
435,149,123,435,445
518,246,165,486,527
599,274,239,598,638
714,331,301,695,757
821,481,335,842,904
889,506,478,906,1042
